feature_i,feature_j,interaction_strength,index_i,index_j
Slope,Soil Organic Carbon (30-200 cm),0.009453975,1,38
Vegetation Mode (Graminoid tundra),Bulk Density (0-30 cm),0.009389305,32,41
Mean curvature (2 km),Soil Organic Carbon (30-200 cm),0.009362069,4,38
Elevation,Mean Annual SWE,0.009342463,0,11
Temperature Seasonality,Nitrogen (0-30 cm),0.00932954,5,39
Mean curvature (500 m),Nitrogen (30-200 cm),0.009276656,3,40
Aspect,Annual Precipitation,0.009189733,2,7
Nitrogen (0-30 cm),Clay (0-30 cm),0.009183898,39,47
Temperature Seasonality,Silt (30-200 cm),0.009165979,5,46
Projected precipitation change,Silt (0-30 cm),0.0090896385,13,45
Mean Annual SWE,Bulk Density (0-30 cm),0.009076159,11,41
Aspect,Nitrogen (30-200 cm),0.009038688,2,40
Nitrogen (30-200 cm),Bulk Density (0-30 cm),0.008993295,40,41
Mean Annual SWE,Vegetation Mode (Graminoid tundra),0.008875025,11,32
Soil Organic Carbon (0-30 cm),Clay (0-30 cm),0.008862418,37,47
Slope,Clay (30-200 cm),0.008805261,1,48
Mean curvature (500 m),Temperature Annual Range,0.008799736,3,6
Mean curvature (2 km),Projected precipitation change,0.008789358,4,13
Mean curvature (2 km),Silt (0-30 cm),0.008728633,4,45
Nitrogen (0-30 cm),Bulk Density (30-200 cm),0.00872457,39,42
Annual Precipitation,Bulk Density (30-200 cm),0.00857327,7,42
Trend in SWE,Bulk Density (30-200 cm),0.0083625605,12,42
Silt (30-200 cm),Clay (0-30 cm),0.008217101,46,47
Annual Precipitation,Precipitation Seasonality,0.008213497,7,8
Mean Annual SWE,Soil Organic Carbon (30-200 cm),0.008013323,11,38
Mean curvature (2 km),Nitrogen (30-200 cm),0.007859352,4,40
Trend in SWE,Sand (30-200 cm),0.007821919,12,44
Mean Annual SWE,Sand (30-200 cm),0.007730334,11,44
Temperature Seasonality,Bulk Density (0-30 cm),0.007629574,5,41
Temperature Annual Range,Silt (0-30 cm),0.0076175327,6,45
Mean curvature (500 m),Clay (30-200 cm),0.0074811657,3,48
Projected precipitation change,Land Cover (Open Water),0.007448124,13,17
Mean curvature (500 m),Soil Organic Carbon (30-200 cm),0.0073458585,3,38
Flammability Index,Silt (0-30 cm),0.007254883,9,45
Precipitation Seasonality,Soil Organic Carbon (30-200 cm),0.0072166454,8,38
Trend in SWE,Clay (30-200 cm),0.0072091427,12,48
Aspect,Vegetation Mode (Graminoid tundra),0.0071100323,2,32
Soil Organic Carbon (0-30 cm),Silt (30-200 cm),0.0069888425,37,46
Aspect,Projected precipitation change,0.006980677,2,13
Precipitation Seasonality,Clay (30-200 cm),0.006978932,8,48
Slope,Bulk Density (30-200 cm),0.00696026,1,42
Temperature Seasonality,Sand (30-200 cm),0.0069360505,5,44
Mean curvature (2 km),Soil Organic Carbon (0-30 cm),0.006912298,4,37
Temperature Seasonality,Precipitation Seasonality,0.00690049,5,8
Aspect,Sand (30-200 cm),0.0068952455,2,44
Slope,Precipitation Seasonality,0.0068275165,1,8
Annual Precipitation,Soil Organic Carbon (0-30 cm),0.0068149697,7,37
Trend in SWE,Projected precipitation change,0.0067942194,12,13
Mean curvature (2 km),Temperature Annual Range,0.006712699,4,6
Projected precipitation change,Soil Organic Carbon (30-200 cm),0.0066647166,13,38
Bulk Density (0-30 cm),Bulk Density (30-200 cm),0.006636595,41,42
Aspect,Silt (0-30 cm),0.0066270097,2,45
Sand (30-200 cm),Silt (30-200 cm),0.0065577147,44,46
Temperature Annual Range,Silt (30-200 cm),0.0063889753,6,46
Mean curvature (2 km),Bulk Density (0-30 cm),0.006363305,4,41
Nitrogen (30-200 cm),Clay (30-200 cm),0.006346238,40,48
Mean curvature (2 km),Temperature Seasonality,0.006285713,4,5
Sand (0-30 cm),Sand (30-200 cm),0.0062419665,43,44
Bulk Density (30-200 cm),Silt (0-30 cm),0.006220041,42,45
Aspect,Silt (30-200 cm),0.0062012617,2,46
Flammability Index,Sand (0-30 cm),0.0061940285,9,43
Land Cover (Emergent Herbaceous Wetlands),Nitrogen (0-30 cm),0.006107036,21,39
Aspect,Mean Annual SWE,0.006091357,2,11
Aspect,Bulk Density (30-200 cm),0.0060648033,2,42
Nitrogen (30-200 cm),Sand (0-30 cm),0.0060563223,40,43
Annual Precipitation,Soil Organic Carbon (30-200 cm),0.006052486,7,38
Projected precipitation change,Clay (0-30 cm),0.006020441,13,47
Bulk Density (0-30 cm),Silt (0-30 cm),0.0059815906,41,45
Nitrogen (30-200 cm),Clay (0-30 cm),0.005872698,40,47
Nitrogen (0-30 cm),Clay (30-200 cm),0.0058697383,39,48
Annual Precipitation,Silt (0-30 cm),0.005856969,7,45
Temperature Seasonality,Clay (0-30 cm),0.005770508,5,47
Soil Organic Carbon (30-200 cm),Silt (0-30 cm),0.0057182703,38,45
Projected precipitation change,Bulk Density (0-30 cm),0.005700532,13,41
Land Cover (Open Water),Land Cover (Woody Wetlands),0.005675703,17,19
Land Cover (Open Water),Vegetation Mode (Graminoid tundra),0.005620646,17,32
Nitrogen (30-200 cm),Silt (30-200 cm),0.005585445,40,46
Vegetation Mode (Graminoid tundra),Nitrogen (30-200 cm),0.0055845114,32,40
Temperature Annual Range,Annual Precipitation,0.0055596363,6,7
Aspect,Precipitation Seasonality,0.0055317334,2,8
Elevation,Aspect,0.005510894,0,2
Aspect,Sand (0-30 cm),0.0054919524,2,43
Temperature Seasonality,Nitrogen (30-200 cm),0.005440682,5,40
Bulk Density (0-30 cm),Clay (0-30 cm),0.005385898,41,47
Temperature Annual Range,Mean Annual SWE,0.0053831474,6,11
Soil Organic Carbon (30-200 cm),Sand (30-200 cm),0.005195168,38,44
Annual Precipitation,Bulk Density (0-30 cm),0.005189213,7,41
Soil Organic Carbon (0-30 cm),Sand (0-30 cm),0.005136796,37,43
Land Cover (Emergent Herbaceous Wetlands),Silt (0-30 cm),0.005110988,21,45
Elevation,Clay (30-200 cm),0.005081613,0,48
Trend in SWE,Sand (0-30 cm),0.005078161,12,43
Projected precipitation change,Clay (30-200 cm),0.0050592995,13,48
Mean curvature (2 km),Sand (30-200 cm),0.004979969,4,44
Mean curvature (500 m),Precipitation Seasonality,0.0049756067,3,8
Elevation,Soil Organic Carbon (30-200 cm),0.0049671307,0,38
Mean curvature (500 m),Silt (30-200 cm),0.0049530277,3,46
Temperature Annual Range,Precipitation Seasonality,0.004951905,6,8
Mean curvature (2 km),Annual Precipitation,0.004913858,4,7
Clay (0-30 cm),Clay (30-200 cm),0.004897318,47,48
Vegetation Mode (Graminoid tundra),Sand (30-200 cm),0.0048879855,32,44
Silt (0-30 cm),Silt (30-200 cm),0.0048770015,45,46
Bulk Density (0-30 cm),Sand (30-200 cm),0.004815184,41,44
Flammability Index,Soil Organic Carbon (0-30 cm),0.0048063355,9,37
Trend in SWE,Nitrogen (30-200 cm),0.004767372,12,40
Sand (30-200 cm),Clay (30-200 cm),0.0046933903,44,48
Temperature Seasonality,Clay (30-200 cm),0.004684347,5,48
Precipitation Seasonality,Nitrogen (0-30 cm),0.0046194736,8,39
Mean curvature (500 m),Sand (0-30 cm),0.0045580207,3,43
Mean curvature (2 km),Flammability Index,0.004547287,4,9
Mean curvature (500 m),Sand (30-200 cm),0.0045312312,3,44
Precipitation Seasonality,Nitrogen (30-200 cm),0.0045195743,8,40
Mean Annual SWE,Land Cover (Woody Wetlands),0.004462235,11,19
Precipitation Seasonality,Projected precipitation change,0.004427448,8,13
Precipitation Seasonality,Land Cover (Open Water),0.0044252416,8,17
Temperature Seasonality,Projected precipitation change,0.004389521,5,13
Bulk Density (30-200 cm),Silt (30-200 cm),0.004336349,42,46
Precipitation Seasonality,Trend in SWE,0.0043194825,8,12
Nitrogen (30-200 cm),Sand (30-200 cm),0.00430216,40,44
Temperature Annual Range,Clay (30-200 cm),0.0042455844,6,48
Soil Organic Carbon (30-200 cm),Clay (0-30 cm),0.00421803,38,47
Temperature Seasonality,Land Cover (Emergent Herbaceous Wetlands),0.0042175893,5,21
Soil Organic Carbon (0-30 cm),Sand (30-200 cm),0.004213455,37,44
Temperature Seasonality,Sand (0-30 cm),0.004199301,5,43
Flammability Index,Bulk Density (0-30 cm),0.0041605704,9,41
Mean curvature (2 km),Silt (30-200 cm),0.0041567795,4,46
Temperature Annual Range,Bulk Density (30-200 cm),0.004138995,6,42
Mean curvature (500 m),Bulk Density (30-200 cm),0.004130954,3,42
Bulk Density (0-30 cm),Clay (30-200 cm),0.0041026836,41,48
Slope,Land Cover (Dwarf Scrub),0.004047367,1,15
Projected precipitation change,Sand (30-200 cm),0.0040119356,13,44
Mean curvature (2 km),Precipitation Seasonality,0.0039934055,4,8
Trend in SWE,Land Cover (Dwarf Scrub),0.0039741257,12,15
Aspect,Land Cover (Emergent Herbaceous Wetlands),0.0039725625,2,21
Elevation,Sand (0-30 cm),0.0039478196,0,43
Temperature Seasonality,Vegetation Mode (Graminoid tundra),0.003940015,5,32
Mean Annual SWE,Clay (30-200 cm),0.003920669,11,48
Nitrogen (30-200 cm),Bulk Density (30-200 cm),0.0038277518,40,42
Temperature Annual Range,Vegetation Mode (Graminoid tundra),0.0037792295,6,32
Land Cover (Open Water),Soil Organic Carbon (0-30 cm),0.0037396129,17,37
Aspect,Soil Organic Carbon (30-200 cm),0.0036801978,2,38
Elevation,Soil Organic Carbon (0-30 cm),0.0036553305,0,37
Nitrogen (0-30 cm),Bulk Density (0-30 cm),0.003640102,39,41
Aspect,Flammability Index,0.003639923,2,9
Aspect,Temperature Annual Range,0.0035969985,2,6
Projected precipitation change,Silt (30-200 cm),0.0035945147,13,46
Flammability Index,Silt (30-200 cm),0.0035869675,9,46
Mean Annual SWE,Bulk Density (30-200 cm),0.0035866725,11,42
Mean curvature (2 km),Sand (0-30 cm),0.0035766927,4,43
Sand (0-30 cm),Silt (0-30 cm),0.0035622646,43,45
Soil Organic Carbon (0-30 cm),Bulk Density (30-200 cm),0.0035212226,37,42
Flammability Index,Clay (30-200 cm),0.003511572,9,48
Precipitation Seasonality,Flammability Index,0.0035096963,8,9
Elevation,Land Cover (Open Water),0.003498843,0,17
Mean curvature (2 km),Land Cover (Emergent Herbaceous Wetlands),0.0034986427,4,21
Land Cover (Open Water),Nitrogen (30-200 cm),0.0034674753,17,40
Mean Annual SWE,Sand (0-30 cm),0.0034555073,11,43
Mean Annual SWE,Silt (30-200 cm),0.0034550678,11,46
Annual Precipitation,Sand (0-30 cm),0.0034023554,7,43
Projected precipitation change,Sand (0-30 cm),0.0033996417,13,43
Flammability Index,Nitrogen (30-200 cm),0.003384192,9,40
Annual Precipitation,Clay (0-30 cm),0.0033179705,7,47
Soil Organic Carbon (30-200 cm),Silt (30-200 cm),0.0033169442,38,46
Elevation,Annual Precipitation,0.0032979525,0,7
Soil Organic Carbon (30-200 cm),Clay (30-200 cm),0.003296264,38,48
Bulk Density (30-200 cm),Clay (30-200 cm),0.0032293322,42,48
Flammability Index,Bulk Density (30-200 cm),0.003224937,9,42
Aspect,Land Cover (Open Water),0.0032228199,2,17
Annual Precipitation,Nitrogen (30-200 cm),0.0032146277,7,40
Bulk Density (0-30 cm),Sand (0-30 cm),0.003209654,41,43
Annual Precipitation,Sand (30-200 cm),0.0032056612,7,44
Flammability Index,Soil Organic Carbon (30-200 cm),0.0031463879,9,38
Sand (30-200 cm),Clay (0-30 cm),0.00312199,44,47
Temperature Annual Range,Soil Organic Carbon (0-30 cm),0.0030665412,6,37
Flammability Index,Vegetation Mode (Shrub tundra),0.003050151,9,30
Temperature Annual Range,Clay (0-30 cm),0.003016867,6,47
Elevation,Flammability Index,0.0030034767,0,9
Vegetation Mode (Graminoid tundra),Soil Organic Carbon (30-200 cm),0.0029798166,32,38
Nitrogen (0-30 cm),Sand (30-200 cm),0.0029429991,39,44
Bulk Density (30-200 cm),Clay (0-30 cm),0.0029047264,42,47
Annual Precipitation,Silt (30-200 cm),0.00290165,7,46
Vegetation Mode (Graminoid tundra),Clay (0-30 cm),0.0028646966,32,47
Mean curvature (2 km),Land Cover (Open Water),0.002851552,4,17
Vegetation Mode (Graminoid tundra),Clay (30-200 cm),0.0028368037,32,48
Precipitation Seasonality,Soil Organic Carbon (0-30 cm),0.0028239056,8,37
Vegetation Mode (Graminoid tundra),Soil Organic Carbon (0-30 cm),0.0028234266,32,37
Elevation,Temperature Annual Range,0.0028075525,0,6
Precipitation Seasonality,Mean Annual SWE,0.0027750141,8,11
Land Cover (Emergent Herbaceous Wetlands),Soil Organic Carbon (30-200 cm),0.0027749788,21,38
Temperature Seasonality,Temperature Annual Range,0.002763753,5,6
Precipitation Seasonality,Bulk Density (0-30 cm),0.0027132428,8,41
Precipitation Seasonality,Silt (0-30 cm),0.0027105806,8,45
Precipitation Seasonality,Sand (0-30 cm),0.0027006045,8,43
Temperature Annual Range,Soil Organic Carbon (30-200 cm),0.0026853497,6,38
Sand (0-30 cm),Clay (30-200 cm),0.0026691875,43,48
Temperature Annual Range,Nitrogen (30-200 cm),0.0026570943,6,40
Mean curvature (500 m),Land Cover (Dwarf Scrub),0.0026279704,3,15
Slope,Land Cover (Sedge/Herbaceous),0.0026080003,1,14
Mean curvature (2 km),Vegetation Mode (Graminoid tundra),0.0025822239,4,32
Land Cover (Open Water),Soil Organic Carbon (30-200 cm),0.002570282,17,38
Slope,Maximum Fire Temperature,0.0025626824,1,10
Temperature Annual Range,Sand (0-30 cm),0.0025459942,6,43
Elevation,Projected precipitation change,0.0025262374,0,13
Elevation,Silt (30-200 cm),0.0025069783,0,46
Sand (0-30 cm),Clay (0-30 cm),0.0025033187,43,47
Precipitation Seasonality,Silt (30-200 cm),0.0024869242,8,46
Flammability Index,Clay (0-30 cm),0.00247354,9,47
Annual Precipitation,Vegetation Mode (Graminoid tundra),0.0024592876,7,32
Land Cover (Woody Wetlands),Land Cover (Emergent Herbaceous Wetlands),0.0024433623,19,21
Elevation,Nitrogen (30-200 cm),0.002439241,0,40
Soil Organic Carbon (30-200 cm),Sand (0-30 cm),0.0024188946,38,43
Mean curvature (2 km),Bulk Density (30-200 cm),0.0024066367,4,42
Precipitation Seasonality,Clay (0-30 cm),0.0024024982,8,47
Sand (0-30 cm),Silt (30-200 cm),0.002401911,43,46
Trend in SWE,Land Cover (Shrub/Scrub),0.0023998371,12,16
Mean Annual SWE,Land Cover (Dwarf Scrub),0.002345624,11,15
Elevation,Clay (0-30 cm),0.0023263744,0,47
Flammability Index,Sand (30-200 cm),0.002323309,9,44
Elevation,Bulk Density (0-30 cm),0.002272472,0,41
Slope,Vegetation Mode (Shrub tundra),0.00227056,1,30
Mean Annual SWE,Vegetation Mode (Shrub tundra),0.0022564435,11,30
Elevation,Sand (30-200 cm),0.0022257983,0,44
Land Cover (Dwarf Scrub),Bulk Density (0-30 cm),0.0021891168,15,41
Land Cover (Emergent Herbaceous Wetlands),Clay (0-30 cm),0.0021851358,21,47
Annual Precipitation,Land Cover (Woody Wetlands),0.0021443765,7,19
Precipitation Seasonality,Vegetation Mode (Graminoid tundra),0.0021371925,8,32
Projected precipitation change,Bulk Density (30-200 cm),0.0021260316,13,42
Vegetation Mode (Graminoid tundra),Silt (0-30 cm),0.0021092014,32,45
Temperature Annual Range,Bulk Density (0-30 cm),0.002108344,6,41
Land Cover (Emergent Herbaceous Wetlands),Bulk Density (0-30 cm),0.0020462042,21,41
Projected precipitation change,Nitrogen (30-200 cm),0.0020099485,13,40
Silt (0-30 cm),Clay (0-30 cm),0.002007045,45,47
Flammability Index,Projected precipitation change,0.0020053198,9,13
Flammability Index,Land Cover (Sedge/Herbaceous),0.0019943777,9,14
Temperature Seasonality,Annual Precipitation,0.0019880643,5,7
Precipitation Seasonality,Bulk Density (30-200 cm),0.0019534652,8,42
Slope,Land Cover (Shrub/Scrub),0.0019490195,1,16
Temperature Annual Range,Land Cover (Emergent Herbaceous Wetlands),0.0019290628,6,21
Temperature Annual Range,Sand (30-200 cm),0.001923537,6,44
Land Cover (Emergent Herbaceous Wetlands),Vegetation Mode (Graminoid tundra),0.001911148,21,32
Land Cover (Woody Wetlands),Nitrogen (0-30 cm),0.0018765446,19,39
Elevation,Bulk Density (30-200 cm),0.0018752081,0,42
Mean curvature (500 m),Vegetation Mode (Graminoid tundra),0.0018548842,3,32
Projected precipitation change,Vegetation Mode (Graminoid tundra),0.0018542807,13,32
Trend in SWE,Land Cover (Emergent Herbaceous Wetlands),0.0018395822,12,21
Bulk Density (30-200 cm),Sand (30-200 cm),0.0018288667,42,44
Bulk Density (30-200 cm),Sand (0-30 cm),0.001806433,42,43
Vegetation Mode (Graminoid tundra),Bulk Density (30-200 cm),0.0017812118,32,42
Land Cover (Open Water),Sand (0-30 cm),0.0017688605,17,43
Elevation,Vegetation Mode (Graminoid tundra),0.0017563951,0,32
Land Cover (Dwarf Scrub),Nitrogen (30-200 cm),0.0017392096,15,40
Land Cover (Open Water),Bulk Density (0-30 cm),0.0017386669,17,41
Mean curvature (500 m),Land Cover (Emergent Herbaceous Wetlands),0.0017238879,3,21
Mean Annual SWE,Land Cover (Sedge/Herbaceous),0.0017107488,11,14
Soil Organic Carbon (30-200 cm),Bulk Density (30-200 cm),0.0016844687,38,42
Annual Precipitation,Land Cover (Dwarf Scrub),0.0016543146,7,15
Land Cover (Open Water),Sand (30-200 cm),0.0015853237,17,44
Bulk Density (0-30 cm),Silt (30-200 cm),0.0015550939,41,46
Land Cover (Dwarf Scrub),Clay (0-30 cm),0.0015149469,15,47
Maximum Fire Temperature,Trend in SWE,0.0015085127,10,12
Elevation,Precipitation Seasonality,0.0014693475,0,8
Vegetation Mode (Graminoid tundra),Nitrogen (0-30 cm),0.0014157277,32,39
Projected precipitation change,Land Cover (Emergent Herbaceous Wetlands),0.0014101871,13,21
Annual Precipitation,Land Cover (Emergent Herbaceous Wetlands),0.0013783918,7,21
Land Cover (Emergent Herbaceous Wetlands),Clay (30-200 cm),0.0013663647,21,48
Flammability Index,Land Cover (Dwarf Scrub),0.0013180391,9,15
Temperature Annual Range,Projected precipitation change,0.0012979647,6,13
Elevation,Mean curvature (2 km),0.0012850816,0,4
Maximum Fire Temperature,Vegetation Mode (Graminoid tundra),0.001246405,10,32
Precipitation Seasonality,Land Cover (Emergent Herbaceous Wetlands),0.0012370413,8,21
Temperature Seasonality,Bulk Density (30-200 cm),0.0012150649,5,42
Land Cover (Emergent Herbaceous Wetlands),Silt (30-200 cm),0.0012143431,21,46
Precipitation Seasonality,Sand (30-200 cm),0.0011419284,8,44
Precipitation Seasonality,Land Cover (Woody Wetlands),0.0011404337,8,19
Mean curvature (2 km),Land Cover (Shrub/Scrub),0.0011386307,4,16
Land Cover (Woody Wetlands),Silt (0-30 cm),0.001126079,19,45
Land Cover (Open Water),Bulk Density (30-200 cm),0.0011208846,17,42
Flammability Index,Land Cover (Shrub/Scrub),0.0010780386,9,16
Land Cover (Open Water),Silt (30-200 cm),0.0010457675,17,46
Trend in SWE,Land Cover (Woody Wetlands),0.001022833,12,19
Annual Precipitation,Land Cover (Sedge/Herbaceous),0.0009904051,7,14
Temperature Annual Range,Land Cover (Shrub/Scrub),0.0009821388,6,16
Trend in SWE,Vegetation Mode (Deciduous forest),0.0009725729,12,34
Vegetation Mode (Shrub tundra),Vegetation Mode (Graminoid tundra),0.00093676813,30,32
Land Cover (Emergent Herbaceous Wetlands),Sand (30-200 cm),0.0009072631,21,44
Slope,Land Cover (Woody Wetlands),0.0008738975,1,19
Annual Precipitation,Land Cover (Shrub/Scrub),0.0008699009,7,16
Trend in SWE,Land Cover (Sedge/Herbaceous),0.0008272191,12,14
Temperature Annual Range,Land Cover (Dwarf Scrub),0.0007873213,6,15
Land Cover (Emergent Herbaceous Wetlands),Sand (0-30 cm),0.00075752207,21,43
Land Cover (Emergent Herbaceous Wetlands),Nitrogen (30-200 cm),0.00072270667,21,40
Land Cover (Shrub/Scrub),Nitrogen (30-200 cm),0.00069903256,16,40
Maximum Fire Temperature,Land Cover (Emergent Herbaceous Wetlands),0.0006969143,10,21
Temperature Seasonality,Land Cover (Woody Wetlands),0.0006964489,5,19
Maximum Fire Temperature,Nitrogen (0-30 cm),0.00068729144,10,39
Land Cover (Shrub/Scrub),Clay (30-200 cm),0.00065560284,16,48
Maximum Fire Temperature,Silt (30-200 cm),0.0006337418,10,46
Mean curvature (2 km),Maximum Fire Temperature,0.00063104264,4,10
Temperature Seasonality,Land Cover (Sedge/Herbaceous),0.000630672,5,14
